Chaenomya                                | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Chaetetes                                | Animal    | Porifera                   | -303700000    | -298900000   | Chaetetes
Chaloneria                               | Plant     | Pteridophyta               | -303400000    | -298900000   | <>
Chamasaurus                              | Animal    | Chordata                   | -303400000    | -298900000   | <>
Chamishaella                             | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Cheilotrypa                              | Animal    | Bryozoa                    | -358900000    | -298900000   | <>
Chelononia                               | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Chelyophorus                             | Animal    | Chordata                   | -323200000    | -298900000   | Chelyophorus
Chenoprosopus                            | Animal    | Chordata                   | -303400000    | -268000000   | Chenoprosopus
Chirotherium                             | Animal    | Chordata                   | -323200000    | -298900000   | Chirotherium
Chlidonocrinus                           | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Choctawites                              | Animal    | Mollusca                   | -358900000    | -298900000   | <>
Chonetella                               | Animal    | Brachiopoda                | -303400000    | -268000000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -301200000    | -300200000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Choristes                                | Animal    | Mollusca                   | -303700000    | -298900000   | Amauropsis
Choristitella                            | Animal    | Brachiopoda                | -306950000    | -272300000   | <>
Choristites                              | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Chusenella                               | Micro     | Foraminifera               | -303700000    | -298900000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Cibolocrinus                             | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Cincosaurus                              | Animal    | Chordata                   | -323200000    | -298900000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -303700000    | -290100000   | Cladochonus
Cladodus                                 | Animal    | Chordata                   | -301200000    | -300200000   | Cladodus
Clathrocrinus                            | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Clavicosta                               | Animal    | Mollusca                   | -301200000    | -300200000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -303400000    | -298900000   | Cleiothyridina
Cleistopora                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Clepsydrops                              | Animal    | Chordata                   | -305900000    | -298900000   | Clepsydrops
Climacammina                             | Micro     | Foraminifera               | -301200000    | -300200000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -323200000    | -252170000   | <>
Cnemidolestes                            | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Cobelodus                                | Animal    | Chordata                   | -303400000    | -298900000   | Cobelodus
Cochliodus                               | Animal    | Chordata                   | -323200000    | -298900000   | <>
Codonotheca                              | Plant     | Pteridospermophyta         | -323200000    | -298900000   | <>
Coelocladia                              | Animal    | Porifera                   | -305900000    | -303400000   | <>
Coelocladiella                           | Animal    | Porifera                   | -303700000    | -298900000   | <>
Coledium                                 | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Colospongia                              | Animal    | Porifera                   | -305900000    | -303400000   | <>
Colpites                                 | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Commentrya                               | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Composita                                | Animal    | Brachiopoda                | -301200000    | -300200000   | Composita
Compsoblatta                             | Animal    | Arthropoda                 | -303400000    | -301200000   | <>
Compsoneura                              | Animal    | Arthropoda                 | -303700000    | -298900000   | Compsoneura
Compsoscorpius                           | Animal    | Arthropoda                 | -303400000    | -301200000   | Compsoscorpius
Concavicaris                             | Animal    | Arthropoda                 | -305900000    | -303400000   | <>
Condraoceras                             | Animal    | Mollusca                   | -303700000    | -298900000   | Condraoceras
Conjunctio                               | Animal    | Chordata                   | -303400000    | -268000000   | Conjunctio
Connexia                                 | Plant     | Chlorophyta                | -306950000    | -298900000   | <>
Conocardium                              | Animal    | Mollusca                   | -323200000    | -272300000   | Conocardium
Contocrinus                              | Animal    | Echinodermata              | -303400000    | -302200000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -315200000    | -279300000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -303400000    | -298900000   | <>
Cooleyella                               | Animal    | Chordata                   | -303400000    | -298900000   | <>
Coopericus                               | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Cooperoceras                             | Animal    | Mollusca                   | -303400000    | -298900000   | Cooperoceras
Cooperodon                               | Animal    | Chordata                   | -303700000    | -298900000   | <>
