Crepidolithus                            | Plant     | Haptophyta                 | -201300000    | -196500000   | <>
Cristellaria                             | Micro     | Foraminifera               | -201300000    | -174100000   | Cristellaria
Critoderma                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Crucella                                 | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Crucirhabdus                             | Plant     | Haptophyta                 | -201300000    | -196500000   | <>
Cryptaulax                               | Animal    | Mollusca                   | -201300000    | -145000000   | Cryptaulax
Cryptosepta                              | Animal    | Cnidaria                   | -201300000    | -196500000   | <>
Ctenis                                   | Plant     | Cycadophyta                | -201300000    | -174100000   | Ctenis
Ctenophyllum                             | Plant     | Cycadophyta                | -201300000    | -174100000   | Ctenophyllum
Ctenopteris                              | Plant     | Cycadophyta                | -208500000    | -199300000   | Ctenopteris
Ctenostreon                              | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Cubitostrea                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Cucullaea                                | Animal    | Mollusca                   | -201300000    | -196500000   | Cucullaea
Culmenformosa                            | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Cuneigervillia                           | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Cuneirhynchia                            | Animal    | Brachiopoda                | -201300000    | -174100000   | <>
Cunichnoides                             | Animal    | Chordata                   | -201300000    | -190800000   | <>
Cupressinocladus                         | Plant     | Coniferophyta              | -201300000    | -174100000   | <>
Curionia                                 | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Cuspidaria                               | Animal    | Mollusca                   | -201300000    | -199300000   | Cuspidaria
Cyathea                                  | Plant     | Pteridophyta               | -201300000    | -174100000   | Cyathea
Cyathocoenia                             | Animal    | Cnidaria                   | -201300000    | -190800000   | <>
Cycadocarpidium                          | Plant     | Coniferophyta              | -201300000    | -170300000   | <>
Cycadolepis                              | Plant     | Cycadeoideophyta           | -201300000    | -190800000   | <>
Cycadopites                              | Plant     | Cycadophyta                | -208500000    | -190800000   | <>
Cycadopteris                             | Plant     | Pteridophyta               | -208500000    | -199300000   | <>
Cycleryon                                | Animal    | Arthropoda                 | -201300000    | -145000000   | Cycleryon
Cycloscytina                             | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cyclothemis                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cylindrobullina                          | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Cylismilia                               | Animal    | Cnidaria                   | -201300000    | -190800000   | <>
Cymbites                                 | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Cypricardia                              | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Cypris                                   | Animal    | Arthropoda                 | -201300000    | -174100000   | Cypris
Cythere                                  | Animal    | Arthropoda                 | -201300000    | -199300000   | <>
Cytherella                               | Animal    | Arthropoda                 | -201300000    | -190800000   | Cytherella
Cytherelloidea                           | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Czekanowskia                             | Plant     | Ginkgophyta                | -201300000    | -157300000   | <>
Dacromya                                 | Animal    | Mollusca                   | -201300000    | -196500000   | Dacromya
Dactylioceras                            | Animal    | Mollusca                   | -201300000    | -199300000   | Dactylioceras
Damalasaurus                             | Animal    | Chordata                   | -201300000    | -174100000   | Damalasaurus
Danaeopsis                               | Plant     | Filicophyta                | -208500000    | -174100000   | <>
Danubea                                  | Micro     | Radiolaria                 | -201300000    | -189600000   | <>
Dapedium                                 | Animal    | Chordata                   | -201300000    | -190800000   | Dapedium
Darniopsis                               | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Dayeconcha                               | Animal    | Mollusca                   | -201300000    | -174100000   | <>
Deflandrecyrtium                         | Micro     | Radiolaria                 | -201300000    | -196500000   | <>
Delatorrichnus                           | Animal    | Chordata                   | -201300000    | -196500000   | Delatorrichnus
Deltoidospora                            | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Dendrastrea                              | Animal    | Cnidaria                   | -201300000    | -199300000   | <>
Dentalium                                | Animal    | Mollusca                   | -201300000    | -174100000   | Dentalium
Dentineritaria                           | Animal    | Mollusca                   | -201300000    | -174100000   | <>
