Crotalocrinites                          | Animal    | Echinodermata              | -427400000    | -423000000   | Crotalocrinites
Cryptocycloceras                         | Animal    | Mollusca                   | -427400000    | -425600000   | Cryptocycloceras
Cryptophyllus                            | Animal    | Arthropoda                 | -427400000    | -425600000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Ctenodontella                            | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Ctenognathodus                           | Animal    | Chordata                   | -427400000    | -423000000   | Ctenognathodus
Ctenopterus                              | Animal    | Arthropoda                 | -443400000    | -419200000   | Ctenopterus
Cucullograptus                           | Animal    | Hemichordata               | -427400000    | -423000000   | <>
Cyathactis                               | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Cyathaspis                               | Animal    | Chordata                   | -433400000    | -423000000   | Cyathaspis
Cyathaxonia                              | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Cyathocrinites                           | Animal    | Echinodermata              | -433400000    | -423000000   | Cyathocrinites
Cyathocrinus                             | Animal    | Echinodermata              | -427400000    | -425600000   | Cyathocrinus
Cyathodictya                             | Animal    | Porifera                   | -443400000    | -419200000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -427400000    | -419200000   | <>
Cyclocyclicus                            | Animal    | Echinodermata              | -427400000    | -419200000   | <>
Cyclonema                                | Animal    | Mollusca                   | -427400000    | -419200000   | Cyclonema
Cyclospira                               | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Cyclospongia                             | Animal    | Porifera                   | -443400000    | -422900000   | <>
Cyclotrypa                               | Animal    | Bryozoa                    | -433400000    | -423000000   | <>
Cymatelasma                              | Animal    | Cnidaria                   | -427400000    | -423000000   | <>
Cymatonota                               | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Cymbidium                                | Animal    | Brachiopoda                | -426200000    | -425400000   | Cymbidium
Cymbularia                               | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Cymostrophia                             | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Cyphaspis                                | Animal    | Arthropoda                 | -426200000    | -425400000   | Cyphaspis
Cyphocrinus                              | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Cyphoproetus                             | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Cyphotrypa                               | Animal    | Bryozoa                    | -427400000    | -423000000   | <>
Cypricardella                            | Animal    | Mollusca                   | -433400000    | -419200000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -427400000    | -421300000   | Cypricardinia
Cypridina                                | Animal    | Arthropoda                 | -433400000    | -419200000   | <>
Cyrtia                                   | Animal    | Brachiopoda                | -426200000    | -425400000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Cyrtoceras                               | Animal    | Mollusca                   | -427400000    | -419200000   | Cyrtoceras
Cyrtocycloceras                          | Animal    | Mollusca                   | -427400000    | -423000000   | Cyrtocycloceras
Cyrtodonta                               | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Cyrtodontula                             | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Cyrtograptus                             | Animal    | Hemichordata               | -427400000    | -423000000   | Cyrtograptus
Cyrtolites                               | Animal    | Mollusca                   | -427400000    | -423000000   | Cyrtolites
Cyrtospira                               | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Cyrtostropha                             | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Cystihalysites                           | Animal    | Cnidaria                   | -427400000    | -419200000   | <>
Cystiphyllum                             | Animal    | Cnidaria                   | -427400000    | -419200000   | <>
Cystothalamiella                         | Animal    | Porifera                   | -427400000    | -423000000   | <>
Cytherellina                             | Animal    | Arthropoda                 | -430500000    | -425600000   | <>
Cytocrinus                               | Animal    | Echinodermata              | -433400000    | -423000000   | <>
Dalejina                                 | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Dalmanella                               | Animal    | Brachiopoda                | -427400000    | -421300000   | <>
Dalmanites                               | Animal    | Arthropoda                 | -427400000    | -419200000   | Dalmanites
Dalmanophyllum                           | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Damilina                                 | Animal    | Mollusca                   | -427400000    | -423000000   | <>
Dapsilodus                               | Animal    | Chordata                   | -427400000    | -419200000   | <>
Dasycladacea                             | Plant     | Chlorophyta                | -427400000    | -423000000   | Dasycladacea
Dawsonoceras                             | Animal    | Mollusca                   | -427400000    | -419200000   | <>
Dayia                                    | Animal    | Brachiopoda                | -427400000    | -419200000   | Dayia
Deceptrix                                | Animal    | Mollusca                   | -433400000    | -423000000   | <>
Decoriconus                              | Animal    | Chordata                   | -427400000    | -419200000   | <>
Decorochilina                            | Animal    | Mollusca                   | -427400000    | -425600000   | <>
Decoroproetus                            | Animal    | Arthropoda                 | -427400000    | -423000000   | <>
Dedzetina                                | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Deiphon                                  | Animal    | Arthropoda                 | -426200000    | -425400000   | Deiphon
Dekayella                                | Animal    | Bryozoa                    | -427400000    | -425600000   | <>
Delotaxis                                | Animal    | Chordata                   | -427400000    | -425600000   | <>
Delthyris                                | Animal    | Brachiopoda                | -427400000    | -419200000   | <>
Dendrocrinus                             | Animal    | Echinodermata              | -427400000    | -423000000   | <>
Dendrograptus                            | Animal    | Hemichordata               | -427400000    | -423000000   | Dendrograptus
Dendrostella                             | Animal    | Cnidaria                   | -427400000    | -410800000   | <>
Densastroma                              | Animal    | Porifera                   | -427400000    | -423000000   | <>
Dentalium                                | Animal    | Mollusca                   | -427400000    | -423000000   | Dentalium
Dentilasma                               | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Derivatolites                            | Animal    | Cnidaria                   | -427400000    | -419200000   | <>
