Cystodictya                              | Animal    | Bryozoa                    | -298900000    | -272300000   | Cystodictya
Cythere                                  | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Daixites                                 | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Dalaia                                   | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Danaeides                                | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Daraelites                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Darvasites                               | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Darwasophyllum                           | Animal    | Cnidaria                   | -298900000    | -290100000   | <>
Dasyceps                                 | Animal    | Chordata                   | -298900000    | -295000000   | Dasyceps
Dasysaria                                | Animal    | Brachiopoda                | -295500000    | -279300000   | <>
Deckerella                               | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Delocrinus                               | Animal    | Echinodermata              | -318100000    | -268000000   | Delocrinus
Deltodus                                 | Animal    | Chordata                   | -295500000    | -279300000   | <>
Deltoidospora                            | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Deltopecten                              | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Denaea                                   | Animal    | Chordata                   | -295500000    | -290100000   | <>
Densoisporites                           | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Dentoceras                               | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Derbyia                                  | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
