Batrachopus                              | Animal    | Chordata                   | -201300000    | -145000000   | <>
Bauneia                                  | Animal    | Porifera                   | -161200000    | -155700000   | <>
Beania Beaniaceae                        | Plant     | Cycadophyta                | -166100000    | -157300000   | Beania
Beauvoisina                              | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Beipiaocarabus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaoplecia                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaopsychops                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaoserphus                           | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beipiaosirex                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Beiyanerpeton                            | Animal    | Chordata                   | -161200000    | -155700000   | Beiyanerpeton
Belemnites                               | Animal    | Mollusca                   | -161200000    | -150800000   | Belemnites_(genus)
Belemnobatis                             | Animal    | Chordata                   | -161200000    | -155700000   | Belemnobatis
Belemnopsis                              | Animal    | Mollusca                   | -161200000    | -148500000   | Belemnopsis
Bellabrunetia                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Belleza                                  | Micro     | Radiolaria                 | -167700000    | -161200000   | <>
Bellicimbrophlebia                       | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bellinympha                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Belloderma                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bellusaurus                              | Animal    | Chordata                   | -163500000    | -157300000   | Bellusaurus
Belzungia                                | Plant     | Chlorophyta                | -161200000    | -150800000   | <>
Benetticeras                             | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Berenicea                                | Animal    | Bryozoa                    | -161200000    | -132900000   | <>
Bernardodon                              | Animal    | Chordata                   | -161200000    | -150800000   | Bernardodon
Berniceras                               | Animal    | Mollusca                   | -161200000    | -155700000   | Berniceras
Bernoullius                              | Micro     | Radiolaria                 | -161200000    | -150800000   | <>
Berothone                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Berriasella                              | Animal    | Mollusca                   | -163500000    | -145000000   | Berriasella
