Chlupacina                               | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Chlupacispira                            | Animal    | Mollusca                   | -409100000    | -402500000   | <>
Chlupacites                              | Animal    | Mollusca                   | -402500000    | -387700000   | <>
Choia                                    | Animal    | Porifera                   | -409100000    | -402500000   | Choia
Chonetes                                 | Animal    | Brachiopoda                | -402500000    | -391900000   | Chonetes
Chonetipustula                           | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Chonostrophia                            | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Chotecops                                | Animal    | Arthropoda                 | -409100000    | -402500000   | Chotecops
Chynistrophia                            | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Cimicinella                              | Animal    | Brachiopoda                | -402500000    | -391900000   | <>
Cimitaria                                | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Cingulodermis                            | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -402500000    | -391900000   | Cladochonus
Cladopora                                | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Clarkeia                                 | Animal    | Brachiopoda                | -407600000    | -387700000   | Clarkeia
Clathrocoilona                           | Animal    | Porifera                   | -407600000    | -393300000   | <>
Clathrodictyella                         | Animal    | Porifera                   | -402500000    | -391900000   | <>
Clavodalejina                            | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Clavofabellina                           | Animal    | Arthropoda                 | -409100000    | -402500000   | <>
Climatius                                | Animal    | Chordata                   | -419200000    | -393300000   | Climatius
Clonocrinus                              | Animal    | Echinodermata              | -416000000    | -391900000   | <>
Clorinda                                 | Animal    | Brachiopoda                | -402500000    | -387700000   | <>
Clorindina                               | Animal    | Brachiopoda                | -410800000    | -402500000   | <>
Coccosteus                               | Animal    | Chordata                   | -407600000    | -393300000   | Coccosteus
Codiacrinus                              | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Coelocerodontus                          | Animal    | Chordata                   | -407600000    | -393300000   | <>
Coelocyclus                              | Animal    | Mollusca                   | -407600000    | -393300000   | <>
Coeloenellina                            | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Coelospira                               | Animal    | Brachiopoda                | -407600000    | -387700000   | <>
Coelospirella                            | Animal    | Brachiopoda                | -409100000    | -402500000   | <>
Coelospirina                             | Animal    | Brachiopoda                | -409100000    | -391900000   | <>
Coenites                                 | Animal    | Cnidaria                   | -402500000    | -391900000   | Coenites
Coignouina                               | Animal    | Arthropoda                 | -410800000    | -402500000   | <>
Collina                                  | Animal    | Mollusca                   | -402500000    | -391900000   | Collina_(ammonite)
Coltraneia                               | Animal    | Arthropoda                 | -402500000    | -391900000   | Coltraneia
Combophyllum                             | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
