Caytonia                                 | Plant     | Ginkgophyta                | -182700000    | -174100000   | Caytonia
Cenoceras                                | Animal    | Mollusca                   | -175600000    | -171600000   | Cenoceras
Cenosphaera                              | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Cephalotaxopsis                          | Plant     | Coniferophyta              | -237000000    | -174100000   | <>
Ceratomya                                | Animal    | Mollusca                   | -175600000    | -168400000   | <>
Ceratomyopsis                            | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Cercomya                                 | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Cerebropollenites                        | Plant     | Gymnospermophyta           | -182700000    | -174100000   | <>
Changpeipus                              | Animal    | Chordata                   | -201300000    | -145000000   | Changpeipus
Chariocrinus                             | Animal    | Echinodermata              | -175600000    | -171600000   | <>
Charlottea                               | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Chartronella                             | Animal    | Mollusca                   | -189600000    | -182000000   | <>
Chemnitzia                               | Animal    | Mollusca                   | -180100000    | -170300000   | Chemnitzia
Chiloscyllium                            | Animal    | Chordata                   | -182700000    | -174100000   | Chiloscyllium
Chimaerocoleites                         | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Chiridotites                             | Animal    | Echinodermata              | -182000000    | -175600000   | Chiridotites
Chironomaptera                           | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Chiropteris                              | Plant     | Cycadophyta                | -182700000    | -174100000   | Chiropteris
Chiton                                   | Animal    | Mollusca                   | -201300000    | -145000000   | Chiton
Chladocrinus                             | Animal    | Echinodermata              | -189600000    | -171600000   | <>
Chlamys                                  | Animal    | Mollusca                   | -175600000    | -171600000   | Chlamys
Choffatirhynchia                         | Animal    | Brachiopoda                | -180100000    | -175600000   | <>
Chomatoseris                             | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Chondroteuthis                           | Animal    | Mollusca                   | -183000000    | -182000000   | Chondroteuthis
Chonetes                                 | Animal    | Brachiopoda                | -237000000    | -174100000   | Chonetes
Choristopsyche                           | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Chorolimnobia                            | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Cicadocoris                              | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Cincta                                   | Animal    | Brachiopoda                | -182700000    | -174100000   | Cincta
Cingentolium                             | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Cingulatisporites                        | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Cirpa                                    | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Cirrus                                   | Animal    | Mollusca                   | -175600000    | -171600000   | Cirrus
Cisnerospira                             | Animal    | Brachiopoda                | -182700000    | -174100000   | <>
Citharina                                | Micro     | Foraminifera               | -175600000    | -171600000   | <>
Citriduma                                | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Cixiites                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Cladocoropsis                            | Animal    | Porifera                   | -175600000    | -171600000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -175600000    | -168400000   | Cladophlebis
Cladophyllia                             | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Clarkeiteuthis                           | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Classopollis                             | Plant     | Coniferophyta              | -175600000    | -171600000   | <>
Clathropteris                            | Plant     | Pteridophyta               | -175600000    | -171600000   | <>
Clausastrea                              | Animal    | Cnidaria                   | -175600000    | -171600000   | <>
Cleviceras                               | Animal    | Mollusca                   | -182000000    | -175600000   | Cleviceras
Clinomerus                               | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Cochlearites                             | Animal    | Mollusca                   | -189600000    | -182000000   | <>
Coeloceras                               | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Coelodiscus                              | Animal    | Mollusca                   | -180100000    | -170300000   | Coelodiscus
Coelopis                                 | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Coelopus                                 | Animal    | Arthropoda                 | -201300000    | -145000000   | Coelopus
Coelostylina                             | Animal    | Mollusca                   | -201300000    | -163500000   | <>
