Archaeotriakis                           | Animal    | Chordata                   | -70600000     | -66000000    | Archaeotriakis
Archaeozostera                           | Plant     | Angiospermae               | -100500000    | -66000000    | <>
Archaeromma                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Archelon                                 | Animal    | Chordata                   | -83500000     | -70600000    | Archelon
Archichrysotus                           | Animal    | Arthropoda                 | -83500000     | -70600000    | Archichrysotus
Architectonica                           | Animal    | Mollusca                   | -70600000     | -66000000    | Architectonica
Arcodonichthys                           | Animal    | Chordata                   | -145000000    | -66000000    | <>
Arcomytilus                              | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Arcopagia                                | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -72100000     | -66000000    | <>
Arcoscalpellum                           | Animal    | Arthropoda                 | -70600000     | -66000000    | <>
Arcovenator                              | Animal    | Chordata                   | -83500000     | -70600000    | Arcovenator
Arctica                                  | Animal    | Mollusca                   | -72100000     | -66000000    | Arctica_(bivalve)
Arctogerocynips                          | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Arctopsychops                            | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Arctostrea                               | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Arecipites                               | Plant     | Angiospermae               | -100500000    | -56000000    | <>
Arenila                                  | Animal    | Chordata                   | -72100000     | -66000000    | Arenila
Arenobulimina                            | Micro     | Foraminifera               | -72100000     | -66000000    | <>
Arenysaurus                              | Animal    | Chordata                   | -70600000     | -66000000    | Arenysaurus
Arenysuchus                              | Animal    | Chordata                   | -70600000     | -66000000    | Arenysuchus
Areopsammia                              | Animal    | Cnidaria                   | -70600000     | -66000000    | <>
Argentodites                             | Animal    | Chordata                   | -72100000     | -66000000    | Argentodites
Argilloecia                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Argyrosaurus                             | Animal    | Chordata                   | -83600000     | -66000000    | Argyrosaurus
Argyrotheca                              | Animal    | Brachiopoda                | -100500000    | -66000000    | Argyrotheca
Ariadnaesporites                         | Plant     | Pteridophyta               | -100500000    | -66000000    | <>
Aristonectes                             | Animal    | Chordata                   | -70600000     | -66000000    | Aristonectes
Arius                                    | Animal    | Chordata                   | -72100000     | -66000000    | Arius
Arkhangelskiella                         | Plant     | Haptophyta                 | -83500000     | -70600000    | <>
Armadillosuchus                          | Animal    | Chordata                   | -83500000     | -66000000    | Armadillosuchus
Armania                                  | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Armanomiris                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
